	hematokrit	ssn	ast	trombocyty	name	leukocyty	indicator	er-cv	alp	smoker	hemoglobin	weight	relationship	erytrocyty	etytr	hbver	alt
0	3.47776	774-29-0589	48.94730	5.74817	Isabella Bryant	7.50474	1.00000	32.10381	85.46324	no	6.66845	94.40164	married	5.30643	6.18309	7.09510	0.73044
1	5.79094	047-23-8751	54.96207		Tammy Joyce	5.42452	1.00000	68.02239	81.09366	Y	6.79481	118.53679	nop	6.48124	7.30050	7.33088	0.81874
2	7.28818	275-01-5723	68.22172	8.90224	Gregory Henderson	6.25004	1.00000	55.54176	58.82458	Y	7.52258	153.82464	single	6.11773	7.15212	5.88904	0.74157
3	7.14740	100-12-4271	71.48081	7.25006	Kevin Duran	8.98054	1.00000	44.12073	50.63412	no	4.74451	115.63854	married	5.93418	4.90200	6.49995	0.64137
4	5.87873	350-84-2470	47.59790	8.28072	Angela Thomas	9.09420	0.00000	60.85427	71.41476	no	5.21029	130.73090	married	7.32329	8.73266	7.06673	1.23461
5	10.14406	047-31-4275	46.75343	7.83354	Mandy Curtis	7.10565	1.00000	48.70980	15.43918	yes	9.07271	53.94562	widowed	8.08062	6.28377	6.59165	1.64376
6	4.89339	109-35-8851	84.86160	8.65174	Connor Steele	6.97743	1.00000	80.81222	44.85400	no	4.61276	46.98901	divoced	5.77629	9.04333	6.50072	0.63108
7	5.68357	003-49-3847	51.80852	9.15896	Megan Johnson	8.93113	0.00000	63.39271	93.16498	no	6.03825	117.90700	married	6.37787	7.90419	7.97914	0.91066
8	8.74246	198-32-9479	56.23116	7.69907	James Warner	8.13933	1.00000	52.37983	31.13097	Y	8.37851	59.74879	widowed	7.28237	5.91238	7.66215	1.02931
9	5.21064	167-14-1139	48.01890	9.87137	Margaret Pierce	6.80861	0.00000	57.32810	70.07677	Y	7.10807	68.02329	separated	5.29511	8.19043	7.41982	0.41087
10	10.14208	831-53-4266	43.24924	7.92685	Kathy Ayers	7.47572	1.00000	87.05400	12.40898	Y	8.70801	74.47823	married	9.34849	6.35528	7.01818	4.25233
11	8.50457	234-86-7099	57.04453	9.12699	Valerie Logan	8.18556	1.00000	52.24138	25.81141	no	8.78384	124.18423	single	9.61683	8.90717	7.17600	5.68821
12	4.23588	103-96-1035	34.28215	6.35460	Janice Rogers	4.87669	1.00000	53.28112	80.21280	no	5.68483	68.69886	single	4.70479	7.90784	6.19797	0.64142
13	4.74118	132-48-2641	28.00567	10.19442	Mark Moore	7.08974	0.00000	32.94229	72.48690	no	7.08895	102.86134	nop	6.20514	4.69838	7.24502	0.93714
14	9.18632	709-14-1722	37.86310	5.41418	Jodi Smith	6.72654	1.00000	60.25807	11.71554	yes	9.35031	87.79213	single	9.05850	9.79115	7.43260	3.27749
15	8.36701	408-73-6602	25.10866	8.96538	Jacob Buchanan	7.14581	1.00000	17.69796	34.10156	yes	8.28114	123.61048	married	9.30064	7.29271	4.91754	3.96790
16	5.49222	878-99-9817	51.33855	6.70723	Jerry Wilson	7.39555	1.00000	49.27721	67.19382	Y	5.18340	93.66546	married	6.07564	6.87507	6.65982	0.58717
17	9.50363	829-78-3913	29.02592	7.60231	Amy Johnson	6.48373	0.00000	54.47000	8.60655	no	9.78251	46.40404	married	3.61226	4.38778	6.40181	0.47136
18	8.79852	798-95-1734	58.18162	7.24639	Anthony Banks	7.27355	1.00000	66.33653	23.32838	no	8.47850	94.64930	separated	7.34112	7.31086	6.99236	0.91633
19	6.76547	171-30-5007	42.81342	6.64124	Melissa Wu	8.42790	1.00000	29.46784	85.74004	yes	6.59175	71.75351	separated	7.54438	7.70052	5.95569	1.30697
