	name	residence	current_location	company	birthdate	sex	blood_group	race	ssn
0	Stacy Stevenson	"3262 Stewart Trail Suite 441
Lynnchester, DE 05967"	(Decimal('10.2141065'), Decimal('12.210519'))	Brady and Sons	1946-11-27	F	AB+	Black	858-89-7704
1	Kelly Harris	"9590 Michelle Spur
Davidbury, IN 66089"	(Decimal('54.172555'), Decimal('64.284585'))	Rivas, Hernandez and Lucero	1928/04/10	F	A-	White	328-35-3845
2	Taylor George	"7198 Cook Street Apt. 408
Carriefurt, HI 38266"	(Decimal('87.244026'), Decimal('-0.980466'))	Johnson-Porter	03/21/1930, 00:00:00	F	O-	White	365-50-3213
3	Ronald Flores	"22421 Juan Island Suite 864
North Sarahville, MS 09946"	(Decimal('-71.4986615'), Decimal('-169.393947'))	Gray-Diaz	1988-01-28	M	O-	Indian	878-56-5337
4	Andrew Taylor	"45533 Sheena Stravenue
Lake Denisefurt, CO 15681"	(Decimal('73.0419435'), Decimal('-24.117816'))	Smith-Lopez	08 Jan 1981	M	O-	Black	639-54-9163
5	Ashley Scott	"4016 Johnson Branch
Fitzgeraldchester, MD 32829"	(Decimal('79.761982'), Decimal('150.304670'))	Sharp-Greene	1933-01-12	F	AB-	Hawaiian	535-86-5162
6	Michael Foster	"5960 Kimberly Lakes
Bridgesstad, VT 95897"	(Decimal('-33.4551955'), Decimal('-5.048445'))	Brennan Ltd	1917-12-27	M	A+	White	175-26-7186
7	Jay Bradshaw MD	"05028 Richard Lake Suite 195
South Jessica, NC 81719"	(Decimal('-8.759844'), Decimal('141.179485'))	Watson, Austin and Jones	06/23/1937, 00:00:00	M	O-	White	690-14-3138
8	Sandy Schwartz	"513 Krause Garden
New Colinmouth, SD 47320"	(Decimal('-32.1048025'), Decimal('121.181950'))	Young and Sons	09/22/1985, 00:00:00	F	B+	White	344-81-3940
9	Jeremy Leach	"06573 Zamora Way Suite 968
Andersonmouth, MT 53856"	(Decimal('-66.759683'), Decimal('-89.047393'))	Leonard-Arnold	1908-04-16	M	A+	White	867-45-2429
10	Laura Robinson	"8942 Williamson Hill Suite 635
South Crystal, TX 92789"	(Decimal('-26.331542'), Decimal('134.793996'))	Yates, Perry and Williams	1998-05-20	F	B+	white	713-58-2419
11	Denise Zimmerman	"USNV Morales
FPO AP 80423"	(Decimal('70.6972865'), Decimal('29.941746'))	Arroyo Inc	04 Aug 2018	F	O+	Black	091-40-5360
12	Colleen Terrell	"453 Dickson Summit
Donaldhaven, NE 31044"	(Decimal('-86.144508'), Decimal('58.817950'))	Day PLC	1956-11-13	F	AB+	White	831-42-5154
13	Allison Jimenez	"994 Cox Orchard Suite 876
Michaelmouth, NH 10352"	(Decimal('16.1240715'), Decimal('-169.458760'))	Thompson, Williams and Davis	1999-09-17	F	B-	Indian	150-35-2561
14	Charlene Reynolds	"93121 Robert View Apt. 784
West Samantha, NM 67147"	(Decimal('-48.119627'), Decimal('165.768014'))	Johnson, Compton and Ward	08/19/2015, 00:00:00	F	B-	White	202-68-2953
15	Patricia Fuller	"072 Powell Inlet Suite 607
Carolynmouth, VA 06415"	(Decimal('88.4337285'), Decimal('48.375788'))	Gutierrez-Scott	08 Feb 1973	F	A+	Black	841-58-0181
16	Jillian Webster	"490 Carrillo Drive
West Julianville, RI 01330"	(Decimal('59.144854'), Decimal('85.330390'))	Pittman, Garcia and Pollard	07/30/1976, 00:00:00	F	AB+	White	407-51-1071
17	John Mullen	"3568 Samuel Crossroad Apt. 326
North Jameshaven, WV 22403"	(Decimal('0.0336705'), Decimal('116.484622'))	Johnson and Sons	1987-01-26	M	A+	White	825-97-7305
18	Pedro Mcmahon	"0446 Bowers Avenue Apt. 382
Lake Kimberlyport, ND 15839"	(Decimal('38.767451'), Decimal('-134.379868'))	Ortiz PLC	1969-03-23	M	B+	Asian	094-72-9610
19	Scott Gilbert	"84814 Hunt Passage Apt. 221
Lake Vincent, ME 34910"	(Decimal('64.393127'), Decimal('113.243416'))	Young-Rodriguez	12 Sep 2011	M	B-	White	692-15-3721
20	Gregory Stewart	"0422 Anna Unions Apt. 757
Jacobsonberg, ME 82354"	(Decimal('50.9264735'), Decimal('-147.980945'))	Johnson, Ortiz and Fisher	1907-02-24	M	B+	Black	325-59-8606
21	Shawn Rivera	"916 Elizabeth Union Suite 634
East Derrick, AL 91392"	(Decimal('-88.8035815'), Decimal('37.026580'))	Hernandez-Neal	05/24/2000, 00:00:00	M	O+	Black	429-67-5440
22	Andrew Patton	"35091 Fletcher Road
South Dawn, WI 16973"	(Decimal('-57.0214755'), Decimal('-158.068908'))	Rivera Inc	04/20/1924, 00:00:00	M	B-	White	732-26-5732
23	Katelyn Gray	"765 Fisher Walks Apt. 313
West Elizabeth, FL 82541"	(Decimal('33.771067'), Decimal('-111.638437'))	Brewer, Coleman and Diaz	1940-09-16	F	O+	black	129-76-6290
24	Lisa Smith	"PSC 2698, Box 7150
APO AA 27403"	(Decimal('-48.452993'), Decimal('83.984327'))	Castro, Robbins and Travis	08/04/1933, 00:00:00	F	B+	Asian	479-84-5386
25	Kevin Boyer	"978 Rachael Spurs
East Chelsea, IN 25010"	(Decimal('88.538036'), Decimal('-1.082919'))	Myers, Taylor and Cordova	07 Jul 1940	M	B+	Black	883-88-2877
26	Elizabeth Mueller	"09767 Oconnell Lakes Apt. 636
Dominiquefort, NJ 40146"	(Decimal('49.521871'), Decimal('-73.108784'))	Murray LLC	2012-10-31	F	O+	White	141-18-9667
27	Julie Watts	"78614 Welch Club Suite 356
Kristinshire, VT 34993"	(Decimal('80.1340195'), Decimal('35.293327'))	Johnson Ltd	1996/05/04	F	B-	White	359-25-6117
28	Darlene Franklin	"3553 Elizabeth Coves Apt. 296
Jenniferton, OH 45375"	(Decimal('-27.429901'), Decimal('82.085997'))	Valdez Ltd	1906/05/17	F	O+	White	117-74-8836
29	Stephanie Abbott	"5744 Sara Circle Apt. 543
Port Roystad, OR 09342"	(Decimal('55.1835965'), Decimal('-156.922697'))	Harmon LLC	1938/02/27	F	B-	Hawaiian	881-86-7842
30	Juan Lozano	"6937 Julie Islands Apt. 948
Lindabury, ME 85243"	(Decimal('57.360057'), Decimal('-16.716461'))	Morgan, Moore and Patterson	01/21/1916, 00:00:00	M	AB-	Black	024-90-3603
31	Stephanie Craig	"15464 Melissa Drives Suite 972
New Jaredberg, MT 55023"	(Decimal('41.1349325'), Decimal('89.802943'))	Juarez-Perkins	12 Dec 1922	F	A-	White	287-72-0946
32	Chad Richardson	"918 Eric Lodge
Rachelfurt, MS 59848"	(Decimal('-12.1031945'), Decimal('-93.019042'))	Madden Inc	18 Feb 1996	M	O+	White	892-14-6267
